Date,Price,Open,High,Low,Vol.,Change %
7/29/2022,31,32.5,32.5,30,65.36K,-4.62%
7/28/2022,32.5,32,32.5,30.5,48.46K,1.56%
7/27/2022,32,32,32,30.9,36.49K,0.00%
7/26/2022,32,31,32,30.5,1.12K,0.00%
7/25/2022,32,32.8,32.9,31,10.40K,-2.44%
7/22/2022,32.8,32.8,32.8,31.1,0.91K,2.50%
7/21/2022,32,33,33,31,9.38K,0.00%
7/20/2022,32,31.5,32,31,10.39K,3.23%
7/19/2022,31,30,31.5,30,24.78K,3.33%
7/18/2022,30,30,30,28.7,35.95K,1.69%
7/15/2022,29.5,31.4,31.4,29.5,16.28K,-3.91%
7/14/2022,30.7,30.9,30.9,30.7,0.52K,2.33%
7/12/2022,30,30.5,30.5,29.5,0.34K,1.01%
7/11/2022,29.7,29.8,29.8,29.5,18.66K,0.34%
7/8/2022,29.6,29.8,29.8,29.6,1.15K,0.34%
7/7/2022,29.5,29.6,29.6,29.3,5.56K,0.68%
7/6/2022,29.3,30,30,29.2,11.49K,-5.18%
7/5/2022,30.9,31,31,29.1,10.55K,4.39%
7/4/2022,29.6,30,31,29.6,4.57K,-1.33%
7/1/2022,30,31,31,30,21.59K,-1.32%
6/30/2022,30.4,29.6,31,29.6,31.18K,1.33%
6/29/2022,30,31,31,29.5,158.50K,0.00%
6/28/2022,30,31,31,28.7,15.89K,-0.66%
6/27/2022,30.2,31.5,31.5,30.1,3.74K,-0.66%
6/24/2022,30.4,31.5,31.5,29.9,30.17K,-3.49%
6/23/2022,31.5,32,32,30.6,2.88K,0.00%
6/22/2022,31.5,32,32,30.2,11.62K,-1.56%
6/21/2022,32,32,32,31,15.14K,0.00%
6/20/2022,32,33,33,31.8,37.37K,-3.90%
6/17/2022,33.3,33.4,33.4,31.6,9.47K,-0.60%
6/16/2022,33.5,33.7,33.7,32,9.58K,1.52%
6/15/2022,33,33.2,33.7,32,2.53K,3.13%
6/13/2022,32,33.6,33.6,32,16.32K,-1.84%
6/10/2022,32.6,33.9,35,31.8,42.49K,-0.91%
6/9/2022,32.9,33.4,33.4,32,3.38K,0.92%
6/8/2022,32.6,31.8,32.6,31.8,6.67K,2.84%
6/7/2022,31.7,32,33.5,31.6,14.81K,0.32%
6/6/2022,31.6,33.5,33.5,31.6,6.72K,-7.87%
6/3/2022,34.3,34.8,34.8,33.1,2.28K,1.18%
6/2/2022,33.9,33,33.9,32.9,1.97K,2.11%
6/1/2022,33.2,35,35,33.2,2.90K,-5.14%
5/31/2022,35,33.5,35,33,26.61K,4.48%
5/30/2022,33.5,33.3,33.5,33,5.41K,1.52%
5/27/2022,33,34.6,34.6,33,40.10K,-4.62%
5/26/2022,34.6,33,34.7,32,113.19K,4.85%
5/25/2022,33,35,35,33,67.42K,-0.30%
5/24/2022,33.1,37,37,33,34.46K,-10.30%
5/23/2022,36.9,36.9,38,34,85.38K,5.43%
5/20/2022,35,36.1,36.1,34,87.16K,-2.78%
5/19/2022,36,36.2,37,36,10.45K,-2.70%
5/18/2022,37,38,38,36.2,19.86K,-2.63%
5/17/2022,38,37.6,38,37,9.38K,1.06%
5/13/2022,37.6,37.9,37.9,37.4,14.95K,3.01%
5/12/2022,36.5,38.6,38.6,36,11.07K,-0.82%
5/9/2022,36.8,36.5,38.6,36.5,4.11K,-2.65%
5/6/2022,37.8,39,39,36.5,34.37K,0.80%
5/5/2022,37.5,39.5,40,37.5,89.79K,-1.83%
5/4/2022,38.2,39.7,40,38,2.77K,0.53%
4/29/2022,38,39.7,40,38,3.74K,-4.28%
4/28/2022,39.7,36.9,39.8,36,46.24K,7.59%
4/27/2022,36.9,33,36.9,32.5,30.61K,19.03%
4/26/2022,31,33,33,30.5,22.29K,-7.46%
4/25/2022,33.5,33.5,33.5,30,8.87K,-4.56%
4/8/2022,35.1,39,39,35,7.10K,0.29%
4/7/2022,35,37.3,39.9,35,6.33K,-6.17%
4/6/2022,37.3,39,39,37.3,5.07K,-3.62%
4/5/2022,38.7,38.6,39,36,54.31K,4.59%
4/4/2022,37,34,37,33,15.85K,8.82%
4/1/2022,34,34,34,34,0.22K,-2.86%
3/31/2022,35,36,36,33.5,19.21K,-7.89%
3/30/2022,38,38,39,35,198.94K,0.00%
3/29/2022,38,39.5,39.9,37.1,29.16K,-2.81%
3/28/2022,39.1,41.1,41.1,38.5,62.08K,-6.90%
3/25/2022,42,43,43.3,40.4,10.03K,0.96%
3/24/2022,41.6,43.9,43.9,41.5,13.47K,-3.93%
3/23/2022,43.3,41.5,43.3,41.5,8.11K,0.70%
3/22/2022,43,43.5,43.5,41.2,11.19K,-1.83%
3/21/2022,43.8,44,44,42.3,9.44K,1.86%
3/18/2022,43,42,44.4,41.8,19.59K,2.38%
3/16/2022,42,40,42,39.9,30.82K,5.00%
3/15/2022,40,42,42,40,16.18K,-4.76%
3/14/2022,42,43.9,43.9,40.6,3.02K,0.00%
3/11/2022,42,42.2,44.8,40,171.18K,-4.33%
3/10/2022,43.9,45,46.9,41.1,33.74K,6.55%
3/9/2022,41.2,47.2,47.2,41,37.49K,-8.44%
3/8/2022,45,44,47.5,42,67.47K,-5.06%
3/7/2022,47.4,45.9,47.5,43,30.45K,4.18%
3/4/2022,45.5,46,46,44,30.40K,-4.21%
3/3/2022,47.5,45.5,48.5,45.5,28.17K,3.04%
3/2/2022,46.1,48,48,45.5,31.29K,-3.76%
2/28/2022,47.9,44.9,48,43,55.64K,6.68%
2/25/2022,44.9,41.5,45,40,61.01K,10.86%
2/24/2022,40.5,45.5,47,39.5,84.75K,-15.45%
2/23/2022,47.9,49.1,49.1,44.6,52.14K,-3.23%
2/22/2022,49.5,45.1,51,45.1,27.19K,3.13%
2/21/2022,48,50.1,50.1,47,45.71K,-8.57%
2/18/2022,52.5,52.7,54,50,46.37K,0.77%
2/17/2022,52.1,54,54.1,52,88.43K,-3.52%
2/15/2022,54,56.2,56.9,53,23.37K,-3.57%
2/14/2022,56,54,58,54,117.31K,7.49%
2/11/2022,52.1,52,54,50.5,46.80K,0.00%
2/10/2022,52.1,52,53,50,55.60K,0.19%
2/9/2022,52,52.5,55,50,78.60K,-3.70%
2/8/2022,54,55.1,55.1,52.5,36.24K,-2.00%
2/7/2022,55.1,55,57.9,55,33.18K,-4.51%
2/3/2022,57.7,55,58,51,89.79K,4.72%
2/2/2022,55.1,59.5,60,55,335.40K,-8.17%
2/1/2022,60,62,62.5,59,353.28K,-1.64%
1/31/2022,61,55,63,55,1.03M,15.09%
1/28/2022,53,55,55,50.1,125.90K,-0.93%
1/27/2022,53.5,55,61.1,51,679.98K,0.94%
1/26/2022,53,52.4,54.9,49.2,123.42K,4.95%
1/25/2022,50.5,55,55,50.1,343.66K,-9.34%
1/24/2022,55.7,58,59.7,53.8,259.17K,-4.79%
1/21/2022,58.5,62.2,62.2,57.9,122.80K,-5.49%
1/20/2022,61.9,64.5,65.9,60,195.10K,-4.18%
1/19/2022,64.6,55.8,65,55.8,515.23K,4.19%
1/18/2022,62,70,70,60,758.84K,-7.46%
1/13/2022,67,68.5,68.5,60,3.01M,22.26%
1/12/2022,54.8,45.5,54.8,44.8,3.03M,24.55%
1/11/2022,44,45,45.5,43.7,174.62K,-0.23%
1/10/2022,44.1,41.5,45.5,41.5,121.69K,5.00%
1/7/2022,42,40.5,42,40.5,106.69K,3.45%
1/6/2022,40.6,39.9,40.6,39.5,463.57K,2.78%
1/5/2022,39.5,37.8,39.5,37.8,29.84K,1.28%
1/4/2022,39,38.9,39,38,20.53K,0.52%
1/3/2022,38.8,38.8,39,38.1,14.22K,-1.52%
12/31/2021,39.4,39.4,39.4,38.7,3.77K,-0.25%
12/30/2021,39.5,39.7,40.7,37.8,34.89K,4.50%
12/29/2021,37.8,38.3,41,37.7,62.54K,-1.56%
12/28/2021,38.4,37,38.4,37,17.76K,2.95%
12/27/2021,37.3,37.3,37.9,37,15.58K,-3.12%
12/24/2021,38.5,37,38.5,37,0.10K,1.05%
12/23/2021,38.1,38,38.7,38,5.33K,-2.31%
12/22/2021,39,36.1,39,36.1,14.77K,3.17%
12/21/2021,37.8,38.3,38.3,36.5,25.76K,-1.31%
12/20/2021,38.3,38.7,40,37.6,29.33K,0.79%
12/17/2021,38,38,38.5,38,15.62K,0.00%
12/16/2021,38,38.5,38.5,37.3,5.80K,0.00%
12/15/2021,38,38.9,38.9,37.1,8.75K,-1.30%
12/14/2021,38.5,38.5,38.6,37.1,21.41K,1.32%
12/13/2021,38,37.6,38,37.1,20.05K,0.53%
12/10/2021,37.8,38.6,38.8,37.8,16.26K,-1.82%
12/9/2021,38.5,37.9,38.9,37.2,17.21K,1.58%
12/8/2021,37.9,37,37.9,36.6,72.24K,2.43%
12/7/2021,37,39.9,39.9,36.5,12.00K,-7.50%
12/6/2021,40,36,40,36,40.12K,8.40%
12/3/2021,36.9,36,37,36,2.01K,2.50%
12/2/2021,36,36,37,35.7,21.14K,-1.37%
12/1/2021,36.5,36.3,37,36,6.52K,0.83%
11/30/2021,36.2,36.1,36.9,36.1,4.41K,0.00%
11/29/2021,36.2,38,38,36.2,40.07K,-1.90%
11/26/2021,36.9,36.2,37.2,36.2,5.16K,1.10%
11/25/2021,36.5,36.4,37,36,45.80K,0.27%
11/24/2021,36.4,35.5,37,35.5,31.18K,2.25%
11/23/2021,35.6,35.9,35.9,35,21.45K,-1.11%
11/22/2021,36,36.8,36.8,36,3.32K,-2.17%
11/19/2021,36.8,37.1,37.1,36,5.48K,-2.13%
11/17/2021,37.6,35.9,37.6,35,45.83K,2.17%
11/16/2021,36.8,35.5,37,35.5,51.99K,1.94%
11/15/2021,36.1,35.5,36.1,35.5,24.82K,-0.55%
11/12/2021,36.3,36.6,36.9,36.1,6.57K,-0.82%
11/11/2021,36.6,36,36.6,36,5.73K,-0.54%
11/10/2021,36.8,36.9,36.9,35.7,6.23K,2.22%
11/9/2021,36,35.8,36.1,35.8,7.18K,-0.28%
11/8/2021,36.1,36.6,36.6,35.8,8.34K,-1.10%
11/5/2021,36.5,36.6,36.6,36.5,12.98K,-1.35%
11/3/2021,37,37,37,36.2,1.84K,2.49%
11/2/2021,36.1,35.9,37,35.9,1.19K,0.28%
11/1/2021,36,37,37.5,35.6,2.29K,-2.70%
10/29/2021,37,36.9,37.4,36,6.17K,1.37%
10/28/2021,36.5,36,36.9,36,6.90K,1.39%
10/27/2021,36,36.1,36.5,35.9,25.53K,-0.55%
10/26/2021,36.2,37,37,36.1,2.21K,-0.55%
10/25/2021,36.4,37,37.4,35.5,4.11K,-0.27%
10/22/2021,36.5,36.5,37,35,12.38K,-2.67%
10/21/2021,37.5,36.6,37.5,36.5,14.05K,1.35%
10/18/2021,37,36.5,37,36.5,1.35K,0.27%
10/15/2021,36.9,37,37.5,36.9,12.22K,-0.27%
10/14/2021,37,36,37,36,15.06K,0.27%
10/13/2021,36.9,36,36.9,36,1.19K,0.54%
10/12/2021,36.7,35.3,37,35.3,12.79K,-0.54%
10/11/2021,36.9,36,36.9,35.1,17.96K,2.50%
10/8/2021,36,36.5,36.5,36,32.51K,-2.17%
10/7/2021,36.8,37.1,37.1,36.5,17.71K,0.00%
10/6/2021,36.8,36.8,37.1,36.7,39.95K,0.82%
10/5/2021,36.5,36.2,36.5,36.1,2.89K,0.83%
10/4/2021,36.2,37.4,37.4,36.2,16.11K,-1.36%
10/1/2021,36.7,36.6,37.5,36.6,8.69K,-0.81%
9/30/2021,37,37,37.5,36.5,0.63K,0.00%
9/29/2021,37,37,37.2,36.7,18.54K,0.54%
9/28/2021,36.8,37.1,37.9,36.8,28.02K,0.00%
9/27/2021,36.8,37.9,37.9,36.5,7.66K,-2.65%
9/24/2021,37.8,36.9,37.9,36.9,34.73K,5.00%
9/23/2021,36,36,36.8,35.8,10.98K,0.56%
9/22/2021,35.8,36.1,36.8,35.8,34.81K,-1.92%
9/21/2021,36.5,36.5,36.5,35.8,46.25K,0.55%
9/17/2021,36.3,37,37.1,35.6,28.67K,-1.63%
9/16/2021,36.9,37.3,37.3,36,6.65K,-0.27%
9/15/2021,37,36.7,37.8,36.2,373.80K,0.27%
9/14/2021,36.9,36.9,37,36,29.13K,-1.07%
9/13/2021,37.3,37.2,37.8,36.1,20.09K,-0.53%
9/10/2021,37.5,36,39.2,34.1,393.28K,4.17%
9/9/2021,36,35.8,36.1,35.5,32.91K,0.00%
9/8/2021,36,35.8,36,34,52.24K,0.00%
9/7/2021,36,35,36.3,34.4,242.32K,2.86%
9/6/2021,35,33.3,36,33,138.23K,8.36%
9/3/2021,32.3,32.5,33.3,32,42.09K,0.94%
9/2/2021,32,32.6,33,32,171.78K,-2.74%
9/1/2021,32.9,32.1,32.9,32.1,5.34K,-0.30%
8/31/2021,33,33.1,33.1,32,56.08K,-1.20%
8/30/2021,33.4,33.5,33.5,33.1,39.71K,-0.89%
8/27/2021,33.7,33.7,33.7,33.4,38.09K,0.30%
8/26/2021,33.6,33.7,33.7,33.2,13.96K,0.30%
8/25/2021,33.5,33.6,33.7,33.5,11.93K,0.00%
8/24/2021,33.5,33.8,33.8,33.5,24.98K,-1.76%
8/23/2021,34.1,34.1,34.2,34,8.25K,0.00%
8/20/2021,34.1,34.4,34.4,33.7,15.94K,-0.58%
8/19/2021,34.3,33.9,34.5,33.8,13.62K,1.78%
8/18/2021,33.7,33.4,33.9,33.4,0.93K,1.20%
8/17/2021,33.3,33.8,34.4,33.3,1.60K,-0.60%
8/16/2021,33.5,33.8,33.8,32.5,11.81K,-0.89%
8/13/2021,33.8,33.5,33.8,33.5,1.60K,0.60%
8/12/2021,33.6,33.5,34.2,33.5,2.85K,-2.04%
8/11/2021,34.3,34,34.3,33.6,11.21K,0.29%
8/10/2021,34.2,35,35,33.7,3.26K,1.18%
8/9/2021,33.8,34.9,34.9,33.6,0.63K,-0.29%
8/6/2021,33.9,33.5,35,33.5,20.79K,-0.29%
8/5/2021,34,33.9,34.5,33.7,15.82K,-1.16%
8/4/2021,34.4,34.5,34.5,33.8,2.11K,0.88%
8/3/2021,34.1,34,34.8,34,24.29K,1.79%
8/2/2021,33.5,34.5,34.5,33.4,2.49K,-1.47%
7/30/2021,34,34.2,34.5,34,1.13K,-1.45%
7/29/2021,34.5,33.4,34.5,33.4,20.85K,2.99%
7/28/2021,33.5,33.5,33.6,33.4,4.27K,0.00%
7/27/2021,33.5,34.3,34.3,33.5,3.28K,-1.76%
7/26/2021,34.1,34,34.4,33.5,2.10K,-0.87%
7/22/2021,34.4,34.2,34.5,33.9,14.93K,0.58%
7/20/2021,34.2,33.5,34.3,33.2,16.60K,2.40%
7/19/2021,33.4,33.7,33.8,33.4,25.32K,-0.60%
7/16/2021,33.6,33.6,34,33.5,14.77K,-0.59%
7/15/2021,33.8,34,34,33.5,1.37K,1.20%
7/14/2021,33.4,33.5,33.8,32.5,40.49K,-1.47%
7/13/2021,33.9,33.8,34,33.5,28.59K,0.30%
7/12/2021,33.8,33.8,33.9,33,12.29K,0.00%
7/9/2021,33.8,33.9,33.9,33.7,2.11K,0.60%
7/8/2021,33.6,33.6,33.6,33.5,0.61K,-0.88%
7/7/2021,33.9,33.2,33.9,33.2,0.06K,0.00%
7/6/2021,33.9,33.5,34,32.8,15.70K,0.00%
7/5/2021,33.9,34,34,33.4,1.37K,-0.29%
7/2/2021,34,34,34,33.8,1.81K,0.00%
7/1/2021,34,33.4,34,33.4,6.87K,1.80%
6/30/2021,33.4,33.6,33.6,32.2,4.15K,-1.76%
6/29/2021,34,34.4,34.4,33.6,14.90K,-1.45%
6/28/2021,34.5,33.9,34.5,33.8,2.17K,2.07%
6/25/2021,33.8,34,34,33.8,5.41K,-0.59%
6/23/2021,34,33.9,34,33.9,0.31K,1.49%
6/22/2021,33.5,34.4,34.4,33.5,2.23K,-1.47%
6/21/2021,34,34.4,34.5,33.4,7.00K,0.29%
6/18/2021,33.9,33.4,34.5,33.4,3.33K,1.80%
6/17/2021,33.3,33.4,34,33.3,1.72K,-0.60%
6/16/2021,33.5,33.9,33.9,33.4,26.46K,0.00%
6/15/2021,33.5,33.8,33.9,33.4,5.15K,-1.47%
6/14/2021,34,34,34,33.7,6.63K,0.00%
6/11/2021,34,34,34.4,33.5,6.60K,-1.16%
6/10/2021,34.4,34,34.5,33.9,3.65K,1.47%
6/9/2021,33.9,34,34.3,33.9,3.67K,-1.45%
6/8/2021,34.4,34,34.5,34,8.45K,-0.29%
6/7/2021,34.5,35.1,35.1,34.4,0.82K,1.17%
6/4/2021,34.1,34.2,35.4,34.1,27.77K,-0.58%
6/3/2021,34.3,34.5,34.5,33.8,2.54K,0.00%
6/2/2021,34.3,34.4,34.4,34,7.00K,0.00%
6/1/2021,34.3,34.2,34.5,33.9,16.78K,1.18%
5/31/2021,33.9,33.8,34.1,33.8,38.83K,0.30%
5/28/2021,33.8,33.6,33.9,33,7.10K,0.60%
5/25/2021,33.6,33.7,33.9,33.3,7.82K,1.82%
5/24/2021,33,33.8,33.8,33,3.25K,-2.37%
5/21/2021,33.8,33.8,33.9,33,56.11K,0.90%
5/20/2021,33.5,33.9,33.9,33.1,4.50K,-1.18%
5/19/2021,33.9,33.1,34.2,33.1,13.70K,1.80%
5/18/2021,33.3,33,33.9,33,7.14K,0.91%
5/17/2021,33,33,33,32,30.20K,1.54%
5/13/2021,32.5,32.5,32.5,32.4,3.65K,0.00%
5/12/2021,32.5,33,33,32.4,22.79K,-0.61%
5/11/2021,32.7,32.7,33,32.7,14.67K,0.62%
5/10/2021,32.5,33.2,33.2,32.5,16.33K,-1.22%
5/7/2021,32.9,32.9,33.5,32.9,3.73K,-1.79%
5/6/2021,33.5,32.7,33.8,32.7,7.54K,1.82%
5/5/2021,32.9,32.8,33.7,32.7,6.54K,-1.20%
5/4/2021,33.3,33.8,33.8,32.9,23.50K,-0.60%
5/3/2021,33.5,33.8,33.8,33.1,2.75K,0.90%
4/30/2021,33.2,33.2,33.8,33.1,4.96K,-1.78%
4/29/2021,33.8,33.2,34.8,33.2,15.12K,3.68%
4/28/2021,32.6,33,33.5,32.6,36.86K,-1.81%
4/27/2021,33.2,33.7,33.7,33,27.69K,-4.87%
4/23/2021,34.9,34.5,35,33.3,39.58K,-0.85%
4/22/2021,35.2,35.5,35.7,34.5,21.93K,0.57%
4/21/2021,35,34.6,35,33.2,19.70K,0.57%
4/20/2021,34.8,35.7,35.9,34.8,19.26K,-2.52%
4/19/2021,35.7,36,36,35.7,14.70K,-0.83%
4/16/2021,36,36,36,35.5,22.81K,0.00%
4/15/2021,36,36,36.5,35.7,9.80K,0.00%
4/12/2021,36,35.8,36,35.3,18.76K,0.84%
4/9/2021,35.7,35.2,35.7,35.2,4.27K,2.00%
4/8/2021,35,35.2,35.2,34.2,5.75K,1.45%
4/7/2021,34.5,35.2,35.8,34.1,16.72K,-1.99%
4/6/2021,35.2,33.8,35.2,33.8,14.71K,4.45%
4/5/2021,33.7,33.4,33.8,33.4,5.44K,1.20%
4/1/2021,33.3,33.2,33.3,32.7,13.80K,0.91%
3/31/2021,33,33.2,33.2,32.4,19.51K,0.00%
3/30/2021,33,33.1,33.2,32.5,9.00K,1.85%
3/29/2021,32.4,33.2,33.2,32.2,8.14K,-0.31%
3/26/2021,32.5,32.9,33,32.4,16.45K,0.93%
3/25/2021,32.2,32.6,32.8,32,21.51K,-0.62%
3/24/2021,32.4,32.3,32.5,32.1,16.90K,1.25%
3/23/2021,32,32.5,32.5,32,8.54K,-1.54%
3/22/2021,32.5,32,32.5,31.6,3.21K,1.56%
3/19/2021,32,33,33,31.5,22.51K,0.00%
3/18/2021,32,32.5,33.1,31.8,33.29K,-1.54%
3/17/2021,32.5,32.4,33,32,17.91K,0.00%
3/16/2021,32.5,33.9,33.9,32,24.23K,-4.41%
3/15/2021,34,34,34.5,32.1,46.92K,1.49%
3/12/2021,33.5,33.5,33.6,32.8,3.29K,2.45%
3/10/2021,32.7,33,33.8,32,3.09K,-0.91%
3/9/2021,33,34.7,34.7,33,26.17K,-0.90%
3/8/2021,33.3,33,35,33,30.74K,0.60%
3/5/2021,33.1,34,34,33,5.64K,-2.65%
3/4/2021,34,34.3,35,33.8,8.95K,-2.02%
3/3/2021,34.7,34.8,34.8,34.2,11.89K,-0.29%
3/2/2021,34.8,34.8,35.5,34.8,0.47K,-0.57%
3/1/2021,35,35.7,35.8,34.9,0.47K,0.57%
